[2024-12-01 23:54:58] [BTC] Última Média Rápida: 586543.8571428572 | Última Média Devagar: 583171.45
[2024-12-01 23:55:00] [ETH] Última Média Rápida: 22324.08428571429 | Última Média Devagar: 22262.17125
[2024-12-01 23:55:03] [ADA] Última Média Rápida: 6.881 | Última Média Devagar: 6.531025000000001
[2024-12-01 23:55:06] [BTC] Última Média Rápida: 586543.8571428572 | Última Média Devagar: 583171.45
[2024-12-01 23:55:08] [ETH] Última Média Rápida: 22324.08428571429 | Última Média Devagar: 22262.17125
[2024-12-01 23:55:11] [ADA] Última Média Rápida: 6.881 | Última Média Devagar: 6.531025000000001
[2024-12-01 23:55:13] [BTC] Última Média Rápida: 586543.8571428572 | Última Média Devagar: 583171.45
[2024-12-01 23:55:16] [ETH] Última Média Rápida: 22325.355714285717 | Última Média Devagar: 22262.39375
[2024-12-01 23:55:18] [ADA] Última Média Rápida: 6.881 | Última Média Devagar: 6.531025000000001
[2024-12-01 23:55:21] [BTC] Última Média Rápida: 586543.7142857143 | Última Média Devagar: 583171.425
[2024-12-01 23:55:24] [ETH] Última Média Rápida: 22325.355714285717 | Última Média Devagar: 22262.39375
[2024-12-01 23:55:26] [ADA] Última Média Rápida: 6.877571428571429 | Última Média Devagar: 6.530425000000001
[2024-12-01 23:55:29] [BTC] Última Média Rápida: 586519.7142857143 | Última Média Devagar: 583167.225
[2024-12-01 23:55:31] [ETH] Última Média Rápida: 22325.355714285717 | Última Média Devagar: 22262.39375
[2024-12-01 23:55:34] [ADA] Última Média Rápida: 6.877571428571429 | Última Média Devagar: 6.530425000000001
[2024-12-01 23:55:36] [BTC] Última Média Rápida: 586519.7142857143 | Última Média Devagar: 583167.225
[2024-12-01 23:55:39] [ETH] Última Média Rápida: 22326.77571428572 | Última Média Devagar: 22262.642249999997
[2024-12-01 23:55:42] [ADA] Última Média Rápida: 6.877571428571429 | Última Média Devagar: 6.530425000000001
[2024-12-01 23:55:44] [BTC] Última Média Rápida: 586542.4285714285 | Última Média Devagar: 583171.2
[2024-12-01 23:55:47] [ETH] Última Média Rápida: 22328.54285714286 | Última Média Devagar: 22262.9515
